book_id,isbn,authors,original_publication_year,title,language_code,image_url
1,439023483,Suzanne Collins,2008,"The Hunger Games (The Hunger Games, Number 1)",eng,https://images.gr-assets.com/books/1447303603m/2767052.jpg
2,439554934,"J.K. Rowling, Mary GrandPré",1997,"Harry Potter and the Sorcerer's Stone (Harry Potter, Number 1)",eng,https://images.gr-assets.com/books/1474154022m/3.jpg
3,316015849,Stephenie Meyer,2005,"Twilight (Twilight, Number 1)",en-US,https://images.gr-assets.com/books/1361039443m/41865.jpg
4,61120081,Harper Lee,1960,To Kill a Mockingbird,eng,https://images.gr-assets.com/books/1361975680m/2657.jpg
5,743273567,F. Scott Fitzgerald,1925,The Great Gatsby,eng,https://images.gr-assets.com/books/1490528560m/4671.jpg
6,525478817,John Green,2012,The Fault in Our Stars,eng,https://images.gr-assets.com/books/1360206420m/11870085.jpg
7,618260307,J.R.R. Tolkien,1937,The Hobbit,en-US,https://images.gr-assets.com/books/1372847500m/5907.jpg
8,316769177,J.D. Salinger,1951,The Catcher in the Rye,eng,https://images.gr-assets.com/books/1398034300m/5107.jpg
9,1416524797,Dan Brown,2000,"Angels & Demons  (Robert Langdon, Number 1)",en-CA,https://images.gr-assets.com/books/1303390735m/960.jpg
10,679783261,Jane Austen,1813,Pride and Prejudice,eng,https://images.gr-assets.com/books/1320399351m/1885.jpg
11,1594480001,Khaled Hosseini,2003,The Kite Runner,eng,https://images.gr-assets.com/books/1484565687m/77203.jpg
12,62024035,Veronica Roth,2011,"Divergent (Divergent, Number 1)",eng,https://images.gr-assets.com/books/1328559506m/13335037.jpg
13,451524934,"George Orwell, Erich Fromm, Celâl Üster",1949,1984,eng,https://images.gr-assets.com/books/1348990566m/5470.jpg
14,452284244,George Orwell,1945,Animal Farm,eng,https://images.gr-assets.com/books/1424037542m/7613.jpg
15,553296981,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,The Diary of a Young Girl,eng,https://images.gr-assets.com/books/1358276407m/48855.jpg
16,307269752,"Stieg Larsson, Reg Keeland",2005,"The Girl with the Dragon Tattoo (Millennium, Number 1)",eng,https://images.gr-assets.com/books/1327868566m/2429135.jpg
17,439023491,Suzanne Collins,2009,"Catching Fire (The Hunger Games, Number 2)",eng,https://images.gr-assets.com/books/1358273780m/6148028.jpg
18,043965548X,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,"Harry Potter and the Prisoner of Azkaban (Harry Potter, Number 3)",eng,https://images.gr-assets.com/books/1499277281m/5.jpg
19,618346252,J.R.R. Tolkien,1954,"The Fellowship of the Ring (The Lord of the Rings, Number 1)",eng,https://images.gr-assets.com/books/1298411339m/34.jpg
20,439023513,Suzanne Collins,2010,"Mockingjay (The Hunger Games, Number 3)",eng,https://images.gr-assets.com/books/1358275419m/7260188.jpg
21,439358078,"J.K. Rowling, Mary GrandPré",2003,"Harry Potter and the Order of the Phoenix (Harry Potter, Number 5)",eng,https://images.gr-assets.com/books/1387141547m/2.jpg
22,316166685,Alice Sebold,2002,The Lovely Bones,eng,https://images.gr-assets.com/books/1457810586m/12232938.jpg
23,439064864,"J.K. Rowling, Mary GrandPré",1998,"Harry Potter and the Chamber of Secrets (Harry Potter, Number 2)",eng,https://images.gr-assets.com/books/1474169725m/15881.jpg
24,439139600,"J.K. Rowling, Mary GrandPré",2000,"Harry Potter and the Goblet of Fire (Harry Potter, Number 4)",eng,https://images.gr-assets.com/books/1361482611m/6.jpg
25,545010225,"J.K. Rowling, Mary GrandPré",2007,"Harry Potter and the Deathly Hallows (Harry Potter, Number 7)",eng,https://images.gr-assets.com/books/1474171184m/136251.jpg
26,307277674,Dan Brown,2003,"The Da Vinci Code (Robert Langdon, Number 2)",eng,https://images.gr-assets.com/books/1303252999m/968.jpg
27,439785960,"J.K. Rowling, Mary GrandPré",2005,"Harry Potter and the Half-Blood Prince (Harry Potter, Number 6)",eng,https://images.gr-assets.com/books/1361039191m/1.jpg
28,140283331,William Golding,1954,Lord of the Flies,eng,https://images.gr-assets.com/books/1327869409m/7624.jpg
29,743477111,"William Shakespeare, Robert           Jackson",1595,Romeo and Juliet,eng,https://images.gr-assets.com/books/1327872146m/18135.jpg
30,297859382,Gillian Flynn,2012,Gone Girl,eng,https://images.gr-assets.com/books/1339602131m/8442457.jpg
31,399155341,Kathryn Stockett,2009,The Help,eng,https://images.gr-assets.com/books/1346100365m/4667024.jpg
32,142000671,John Steinbeck,1937,Of Mice and Men,eng,https://images.gr-assets.com/books/1437235233m/890.jpg
33,739326228,Arthur Golden,1997,Memoirs of a Geisha,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
34,1612130291,E.L. James,2011,"Fifty Shades of Grey (Fifty Shades, Number 1)",eng,https://images.gr-assets.com/books/1385207843m/10818853.jpg
35,61122416,"Paulo Coelho, Alan R. Clarke",1988,The Alchemist,eng,https://images.gr-assets.com/books/1483412266m/865.jpg
36,385732554,Lois Lowry,1993,"The Giver (The Giver, Number 1)",eng,https://images.gr-assets.com/books/1342493368m/3636.jpg
37,60764899,C.S. Lewis,1950,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, Number 1)",eng,https://images.gr-assets.com/books/1353029077m/100915.jpg
38,965818675,Audrey Niffenegger,2003,The Time Traveler's Wife,eng,https://images.gr-assets.com/books/1437728815m/14050.jpg
39,553588486,George R.R. Martin,1996,"A Game of Thrones (A Song of Ice and Fire, Number 1)",eng,https://images.gr-assets.com/books/1436732693m/13496.jpg
40,143038419,Elizabeth Gilbert,2006,"Eat, Pray, Love",eng,https://images.gr-assets.com/books/1503066414m/19501.jpg
41,786838655,Rick Riordan,2005,"The Lightning Thief (Percy Jackson and the Olympians, Number 1)",eng,https://images.gr-assets.com/books/1400602609m/28187.jpg
42,451529308,Louisa May Alcott,1868,"Little Women (Little Women, Number 1)",en-US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
43,142437204,"Charlotte Brontë, Michael Mason",1847,Jane Eyre,eng,https://images.gr-assets.com/books/1327867269m/10210.jpg
44,553816713,Nicholas Sparks,1996,"The Notebook (The Notebook, Number 1)",eng,https://images.gr-assets.com/books/1385738917m/15931.jpg
45,770430074,Yann Martel,2001,Life of Pi,,https://images.gr-assets.com/books/1320562005m/4214.jpg
46,1565125606,Sara Gruen,2006,Water for Elephants,eng,https://images.gr-assets.com/books/1494428973m/43641.jpg
47,375831002,Markus Zusak,2005,The Book Thief,eng,https://images.gr-assets.com/books/1390053681m/19063.jpg
48,307347974,Ray Bradbury,1953,Fahrenheit 451,spa,https://images.gr-assets.com/books/1351643740m/4381.jpg
49,316160199,Stephenie Meyer,2006,"New Moon (Twilight, Number 2)",eng,https://images.gr-assets.com/books/1361039440m/49041.jpg
50,60513039,Shel Silverstein,1974,Where the Sidewalk Ends,eng,https://images.gr-assets.com/books/1168052448m/30119.jpg
51,1416914285,Cassandra Clare,2007,"City of Bones (The Mortal Instruments, Number 1)",eng,https://images.gr-assets.com/books/1432730315m/256683.jpg
52,316160202,Stephenie Meyer,2007,"Eclipse (Twilight, Number 3)",en-US,https://images.gr-assets.com/books/1361038355m/428263.jpg
53,375826696,Christopher Paolini,2002,"Eragon (The Inheritance Cycle, Number 1)",en-US,https://images.gr-assets.com/books/1366212852m/113436.jpg
54,345391802,Douglas Adams,1979,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, Number 1)",en-US,https://images.gr-assets.com/books/1327656754m/11.jpg
55,60929871,Aldous Huxley,1932,Brave New World,eng,https://images.gr-assets.com/books/1487389574m/5129.jpg
56,031606792X,Stephenie Meyer,2008,"Breaking Dawn (Twilight, Number 4)",en-US,https://images.gr-assets.com/books/1361039438m/1162543.jpg
57,142001740,Sue Monk Kidd,2001,The Secret Life of Bees,en-US,https://images.gr-assets.com/books/1473454532m/37435.jpg
58,142437174,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,eng,https://images.gr-assets.com/books/1405973850m/2956.jpg
59,64410935,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,eng,https://images.gr-assets.com/books/1439632243m/24178.jpg
60,1400032717,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,eng,https://images.gr-assets.com/books/1479863624m/1618.jpg
61,1594633665,Paula Hawkins,2015,The Girl on the Train,eng,https://images.gr-assets.com/books/1490903702m/22557272.jpg
62,679879242,Philip Pullman,1995,"The Golden Compass (His Dark Materials, Number 1)",eng,https://images.gr-assets.com/books/1451271747m/119322.jpg
63,393978893,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
64,743454537,Jodi Picoult,2004,My Sister's Keeper,eng,https://images.gr-assets.com/books/1369504683m/10917.jpg
